epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,2161.45,0.50087,0.96665,0.32485,0.90647,0.99502,1,0.995,0.75627,0.99502,1,0.995,0.61854,0.91999,1.36062,0.40869,1.77314,0.00014633,0.00014633,0.00014633
138,2173.92,0.53774,0.97463,0.32719,0.92277,0.99503,1,0.995,0.74975,0.99503,1,0.995,0.61938,0.92728,1.30804,0.38781,1.77887,0.000136898,0.000136898,0.000136898
139,2186.48,0.51703,0.98806,0.33688,0.91459,0.99489,1,0.995,0.77177,0.99489,1,0.995,0.59301,0.92104,1.46397,0.34739,1.91373,0.000127467,0.000127467,0.000127467
140,2201.29,0.50183,0.96107,0.3278,0.92655,0.99491,1,0.995,0.77452,0.99491,1,0.995,0.59301,0.8828,1.49365,0.34592,1.87421,0.000118035,0.000118035,0.000118035
141,2237.84,0.48018,0.78374,0.3029,0.86162,0.99506,1,0.995,0.77258,0.99506,1,0.995,0.6165,0.92596,1.47718,0.37065,1.83319,0.000108604,0.000108604,0.000108604
142,2251.73,0.46827,0.78541,0.29671,0.8614,0.99502,1,0.995,0.7682,0.99502,1,0.995,0.59527,0.95739,1.42452,0.37526,1.89017,9.91726e-05,9.91726e-05,9.91726e-05
143,2264.3,0.4487,0.76968,0.2904,0.86775,0.99498,1,0.995,0.7715,0.99498,1,0.995,0.6115,0.88915,1.36553,0.35118,1.77525,8.97412e-05,8.97412e-05,8.97412e-05
144,2276.72,0.44152,0.73393,0.28344,0.85976,0.99503,1,0.995,0.79386,0.99503,1,0.995,0.63358,0.83785,1.32452,0.33458,1.68277,8.03098e-05,8.03098e-05,8.03098e-05
145,2289.07,0.44562,0.74884,0.28542,0.84687,0.99503,1,0.995,0.8083,0.99503,1,0.995,0.62735,0.84285,1.322,0.32881,1.69834,7.08784e-05,7.08784e-05,7.08784e-05
146,2307.84,0.42384,0.73509,0.28094,0.84347,0.99502,1,0.995,0.77165,0.99502,1,0.995,0.62061,0.90407,1.36282,0.33607,1.78394,6.1447e-05,6.1447e-05,6.1447e-05
147,2323.89,0.44052,0.73478,0.27534,0.83135,0.99498,1,0.995,0.75849,0.99498,1,0.995,0.60747,0.9455,1.40078,0.36306,1.91156,5.20156e-05,5.20156e-05,5.20156e-05
148,2346.72,0.44631,0.70959,0.27371,0.83432,0.995,1,0.995,0.76313,0.995,1,0.995,0.60337,0.92738,1.39691,0.35624,1.90762,4.25842e-05,4.25842e-05,4.25842e-05
149,2363.56,0.42716,0.73225,0.26988,0.86009,0.99503,1,0.995,0.7571,0.99503,1,0.995,0.59872,0.92788,1.38166,0.3535,1.88678,3.31528e-05,3.31528e-05,3.31528e-05
150,2375.86,0.42218,0.72035,0.26957,0.85229,0.99508,1,0.995,0.75742,0.99508,1,0.995,0.59872,0.94363,1.37874,0.36147,1.88691,2.37214e-05,2.37214e-05,2.37214e-05
