epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,541.835,1.06215,1.71213,0.69207,1.23487,0.99349,1,0.995,0.65941,0.99349,1,0.995,0.60118,1.28842,1.13004,0.66873,1.87319,0.00113663,0.00113663,0.00113663
33,559.261,1.01583,1.62412,0.69178,1.25753,0.99315,1,0.995,0.73184,0.99315,1,0.995,0.59599,0.96362,1.11503,0.71271,1.55754,0.0011272,0.0011272,0.0011272
34,576.749,0.99583,1.68769,0.67646,1.24332,0.98553,1,0.995,0.71251,0.98553,1,0.995,0.59635,1.17557,1.13808,0.66351,1.73209,0.00111776,0.00111776,0.00111776
35,594.086,1.0083,1.67959,0.65595,1.23017,0.99375,1,0.995,0.70652,0.99375,1,0.995,0.54207,1.04431,1.33452,0.60159,1.6101,0.00110833,0.00110833,0.00110833
36,611.581,1.06104,1.72745,0.68665,1.2606,0.98719,1,0.995,0.66986,0.98719,1,0.995,0.56022,1.18061,1.25467,0.65496,1.66983,0.0010989,0.0010989,0.0010989
37,628.869,1.04997,1.64241,0.67827,1.25679,0.99339,1,0.995,0.73175,0.99339,1,0.995,0.6382,1.03345,1.0855,0.55452,1.642,0.00108947,0.00108947,0.00108947
38,646.724,1.00542,1.64377,0.68748,1.21807,0.98925,1,0.995,0.59417,0.98925,1,0.995,0.56799,1.29647,1.18592,0.6303,1.78306,0.00108004,0.00108004,0.00108004
39,664.241,0.96329,1.5798,0.63672,1.21563,0.99452,1,0.995,0.69978,0.99452,1,0.995,0.61474,1.18744,1.13669,0.61903,1.73787,0.00107061,0.00107061,0.00107061
40,679.139,0.9521,1.55324,0.63926,1.22483,0.99398,1,0.995,0.66478,0.99398,1,0.995,0.68781,1.16309,1.2011,0.52907,1.7307,0.00106118,0.00106118,0.00106118
41,692.054,0.96797,1.60377,0.64955,1.22209,0.99296,1,0.995,0.68591,0.99296,1,0.995,0.5947,1.13311,1.19927,0.66372,1.69867,0.00105174,0.00105174,0.00105174
42,708.251,0.92001,1.5056,0.60019,1.17276,0.99226,1,0.995,0.66269,0.99226,1,0.995,0.54386,1.13725,1.26802,0.56773,1.72195,0.00104231,0.00104231,0.00104231
43,724.639,0.93758,1.59379,0.62796,1.18071,0.99384,1,0.995,0.68777,0.99384,1,0.995,0.58466,1.19963,1.14003,0.58149,1.7437,0.00103288,0.00103288,0.00103288
44,754.817,0.96962,1.5523,0.60857,1.21272,0.99321,1,0.995,0.75427,0.99321,1,0.995,0.58351,0.84533,1.17985,0.51982,1.4609,0.00102345,0.00102345,0.00102345
45,776.484,1.0251,1.57413,0.62993,1.25004,0.99234,1,0.995,0.71764,0.99234,1,0.995,0.56331,1.17291,1.28716,0.55523,1.5524,0.00101402,0.00101402,0.00101402
46,791.081,0.95783,1.61656,0.60325,1.19609,0.99402,1,0.995,0.74111,0.99402,1,0.995,0.60655,1.03832,1.2072,0.53354,1.547,0.00100459,0.00100459,0.00100459
47,806.277,0.96352,1.62048,0.57777,1.21884,0.99371,1,0.995,0.75582,0.99371,1,0.995,0.63954,1.00349,1.08428,0.48928,1.51939,0.000995156,0.000995156,0.000995156
48,822.75,0.93932,1.58403,0.58959,1.18575,0.99345,1,0.995,0.74586,0.99345,1,0.995,0.64309,0.97521,1.10026,0.52033,1.5876,0.000985724,0.000985724,0.000985724
49,838.657,0.97264,1.50708,0.60546,1.19485,0.99388,1,0.995,0.77173,0.99388,1,0.995,0.58526,1.01138,1.43355,0.53106,1.66829,0.000976293,0.000976293,0.000976293
50,857.767,0.9819,1.6322,0.61187,1.21798,0.99246,1,0.995,0.70278,0.99246,1,0.995,0.61345,1.15832,1.194,0.51665,1.60709,0.000966861,0.000966861,0.000966861
51,874.664,0.96037,1.50149,0.61217,1.20187,0.9916,1,0.995,0.75753,0.9916,1,0.995,0.55794,1.04708,1.19289,0.47414,1.67372,0.00095743,0.00095743,0.00095743
52,891.595,0.93703,1.51014,0.57906,1.20069,0.99456,1,0.995,0.7194,0.99456,1,0.995,0.63552,1.04496,1.19574,0.50972,1.70412,0.000947999,0.000947999,0.000947999
53,908.447,0.91106,1.52385,0.57444,1.16855,0.99405,1,0.995,0.74908,0.99405,1,0.995,0.60519,1.0058,1.24113,0.49973,1.59462,0.000938567,0.000938567,0.000938567
54,925.305,0.95485,1.58048,0.5907,1.19431,0.99404,1,0.995,0.69646,0.99404,1,0.995,0.58772,0.98513,1.10867,0.52568,1.56501,0.000929136,0.000929136,0.000929136
55,942.232,0.90117,1.43267,0.58296,1.17701,0.99362,1,0.995,0.68278,0.99362,1,0.995,0.60084,1.18005,1.18345,0.57041,1.9428,0.000919704,0.000919704,0.000919704
56,959.238,0.8734,1.41349,0.54696,1.15661,1,1,0.995,0.70693,1,1,0.995,0.57787,1.14564,1.25159,0.53599,1.85069,0.000910273,0.000910273,0.000910273
57,976.295,0.95241,1.53851,0.59292,1.21034,0.99365,1,0.995,0.70801,0.99365,1,0.995,0.61662,1.1386,1.15763,0.52551,1.81559,0.000900842,0.000900842,0.000900842
58,993.235,0.86724,1.44314,0.53353,1.14564,0.99432,1,0.995,0.70746,0.99432,1,0.995,0.52689,1.14356,1.29921,0.55132,1.92087,0.00089141,0.00089141,0.00089141
59,1011.17,0.86874,1.43042,0.5392,1.1537,0.99334,1,0.995,0.67433,0.99334,1,0.995,0.56133,1.22342,1.30492,0.52579,1.81777,0.000881979,0.000881979,0.000881979
60,1028.57,0.8917,1.4361,0.53271,1.16384,0.99418,1,0.995,0.67615,0.99418,1,0.995,0.63333,1.15902,1.10543,0.55402,1.77388,0.000872547,0.000872547,0.000872547
61,1045.82,0.89704,1.47826,0.51079,1.15826,0.99467,1,0.995,0.75166,0.99467,1,0.995,0.64239,0.99424,1.18851,0.45445,1.69649,0.000863116,0.000863116,0.000863116
62,1063,0.92531,1.5307,0.54244,1.16757,0.99431,1,0.995,0.7272,0.99431,1,0.995,0.60854,1.11893,1.19208,0.48347,1.75742,0.000853685,0.000853685,0.000853685
63,1080.32,0.87369,1.4797,0.53395,1.14285,0.99402,1,0.995,0.74646,0.99402,1,0.995,0.64566,1.01789,1.10908,0.44601,1.80398,0.000844253,0.000844253,0.000844253
64,1096.48,0.85149,1.43516,0.52717,1.12392,0.99456,1,0.995,0.74341,0.99456,1,0.995,0.57991,1.00796,1.29172,0.48203,1.73212,0.000834822,0.000834822,0.000834822
65,1113.49,0.87741,1.49256,0.53211,1.13456,0.99407,1,0.995,0.7397,0.99407,1,0.995,0.60991,1.0834,1.1595,0.47231,1.8752,0.00082539,0.00082539,0.00082539
66,1130.57,0.80961,1.35059,0.51362,1.12203,0.99436,1,0.995,0.74968,0.99436,1,0.995,0.6557,1.04333,1.12595,0.45365,1.75272,0.000815959,0.000815959,0.000815959
67,1147.82,0.84024,1.37777,0.50739,1.11264,0.99433,1,0.995,0.74651,0.99433,1,0.995,0.61715,1.0029,1.37897,0.42828,1.75423,0.000806528,0.000806528,0.000806528
68,1164.78,0.84512,1.42171,0.54549,1.13781,0.99425,1,0.995,0.74496,0.99425,1,0.995,0.59886,1.03131,1.18846,0.43389,1.67116,0.000797096,0.000797096,0.000797096
69,1181.73,0.84704,1.44403,0.51883,1.13071,0.99444,1,0.995,0.76383,0.99444,1,0.995,0.56541,0.82129,1.23357,0.40465,1.41458,0.000787665,0.000787665,0.000787665
70,1198.64,0.822,1.37752,0.49603,1.11809,0.99401,1,0.995,0.74393,0.99401,1,0.995,0.61552,0.96296,1.14192,0.41665,1.57342,0.000778233,0.000778233,0.000778233
71,1215.68,0.82224,1.34074,0.51202,1.10415,0.99315,1,0.995,0.69655,0.99315,1,0.995,0.58538,1.11893,1.15096,0.47691,1.95284,0.000768802,0.000768802,0.000768802
72,1232.8,0.79716,1.43519,0.48856,1.10268,0.99344,1,0.995,0.78064,0.99344,1,0.995,0.58455,0.94325,1.17746,0.49359,1.59169,0.000759371,0.000759371,0.000759371
73,1249.85,0.77859,1.34842,0.48967,1.05808,0.99437,1,0.995,0.74652,0.99437,1,0.995,0.64993,1.04971,1.168,0.49397,1.75887,0.000749939,0.000749939,0.000749939
74,1265.12,0.76666,1.42445,0.48547,1.08898,0.99452,1,0.995,0.80623,0.99452,1,0.995,0.63149,0.89087,1.29601,0.43181,1.58384,0.000740508,0.000740508,0.000740508
75,1282.3,0.81891,1.42301,0.49511,1.11608,0.99438,1,0.995,0.73,0.99438,1,0.995,0.56458,1.0031,1.2693,0.45079,1.72595,0.000731076,0.000731076,0.000731076
76,1299.29,0.82266,1.39915,0.49602,1.10159,0.99433,1,0.995,0.70407,0.99433,1,0.995,0.60494,1.10722,1.11887,0.47673,1.85551,0.000721645,0.000721645,0.000721645
77,1316.19,0.7872,1.34724,0.50906,1.09107,0.99422,1,0.995,0.71558,0.99422,1,0.995,0.61616,0.98787,1.19053,0.49403,1.64659,0.000712214,0.000712214,0.000712214
78,1333.12,0.75308,1.30584,0.46973,1.07962,0.99427,1,0.995,0.7115,0.99427,1,0.995,0.60814,1.05096,1.16136,0.47884,1.90851,0.000702782,0.000702782,0.000702782
79,1347.15,0.7555,1.35237,0.47348,1.07216,0.99458,1,0.995,0.73407,0.99458,1,0.995,0.57668,1.01455,1.34128,0.43399,1.64658,0.000693351,0.000693351,0.000693351
